asset_id,symbol,name,created_at
1,ETH,,2026-01-06 08:50:45.802252 +00:00
2,BTC,,2026-01-06 08:50:45.802252 +00:00
3,LTC,,2026-01-06 08:50:45.802252 +00:00
4,BNB,,2026-01-06 08:50:45.802252 +00:00
5,NEO,,2026-01-06 08:50:45.802252 +00:00
6,QTUM,,2026-01-06 08:50:45.802252 +00:00
7,EOS,,2026-01-06 08:50:45.802252 +00:00
8,SNT,,2026-01-06 08:50:45.802252 +00:00
9,BNT,,2026-01-06 08:50:45.802252 +00:00
10,BCC,,2026-01-06 08:50:45.802252 +00:00
11,GAS,,2026-01-06 08:50:45.802252 +00:00
12,USDT,,2026-01-06 08:50:45.802252 +00:00
13,HSR,,2026-01-06 08:50:45.802252 +00:00
14,OAX,,2026-01-06 08:50:45.802252 +00:00
15,DNT,,2026-01-06 08:50:45.802252 +00:00
16,MCO,,2026-01-06 08:50:45.802252 +00:00
17,ICN,,2026-01-06 08:50:45.802252 +00:00
18,WTC,,2026-01-06 08:50:45.802252 +00:00
19,LRC,,2026-01-06 08:50:45.802252 +00:00
20,YOYO,,2026-01-06 08:50:45.802252 +00:00
21,OMG,,2026-01-06 08:50:45.802252 +00:00
22,ZRX,,2026-01-06 08:50:45.802252 +00:00
23,STRAT,,2026-01-06 08:50:45.802252 +00:00
24,SNGLS,,2026-01-06 08:50:45.802252 +00:00
25,BQX,,2026-01-06 08:50:45.802252 +00:00
26,KNC,,2026-01-06 08:50:45.802252 +00:00
27,FUN,,2026-01-06 08:50:45.802252 +00:00
28,SNM,,2026-01-06 08:50:45.802252 +00:00
29,IOTA,,2026-01-06 08:50:45.802252 +00:00
30,LINK,,2026-01-06 08:50:45.802252 +00:00
31,XVG,,2026-01-06 08:50:45.802252 +00:00
32,SALT,,2026-01-06 08:50:45.802252 +00:00
33,MDA,,2026-01-06 08:50:45.802252 +00:00
34,MTL,,2026-01-06 08:50:45.802252 +00:00
35,SUB,,2026-01-06 08:50:45.802252 +00:00
36,ETC,,2026-01-06 08:50:45.802252 +00:00
37,MTH,,2026-01-06 08:50:45.802252 +00:00
38,ENG,,2026-01-06 08:50:45.802252 +00:00
39,ZEC,,2026-01-06 08:50:45.802252 +00:00
40,AST,,2026-01-06 08:50:45.802252 +00:00
41,DASH,,2026-01-06 08:50:45.802252 +00:00
42,BTG,,2026-01-06 08:50:45.802252 +00:00
43,EVX,,2026-01-06 08:50:45.802252 +00:00
44,REQ,,2026-01-06 08:50:45.802252 +00:00
45,VIB,,2026-01-06 08:50:45.802252 +00:00
46,TRX,,2026-01-06 08:50:45.802252 +00:00
47,POWR,,2026-01-06 08:50:45.802252 +00:00
48,ARK,,2026-01-06 08:50:45.802252 +00:00
49,XRP,,2026-01-06 08:50:45.802252 +00:00
50,MOD,,2026-01-06 08:50:45.802252 +00:00
51,ENJ,,2026-01-06 08:50:45.802252 +00:00
52,STORJ,,2026-01-06 08:50:45.802252 +00:00
53,VEN,,2026-01-06 08:50:45.802252 +00:00
54,KMD,,2026-01-06 08:50:45.802252 +00:00
55,NULS,,2026-01-06 08:50:45.802252 +00:00
56,RCN,,2026-01-06 08:50:45.802252 +00:00
57,RDN,,2026-01-06 08:50:45.802252 +00:00
58,XMR,,2026-01-06 08:50:45.802252 +00:00
59,DLT,,2026-01-06 08:50:45.802252 +00:00
60,AMB,,2026-01-06 08:50:45.802252 +00:00
61,BAT,,2026-01-06 08:50:45.802252 +00:00
62,BCPT,,2026-01-06 08:50:45.802252 +00:00
63,ARN,,2026-01-06 08:50:45.802252 +00:00
64,GVT,,2026-01-06 08:50:45.802252 +00:00
65,CDT,,2026-01-06 08:50:45.802252 +00:00
66,GXS,,2026-01-06 08:50:45.802252 +00:00
67,POE,,2026-01-06 08:50:45.802252 +00:00
68,QSP,,2026-01-06 08:50:45.802252 +00:00
69,BTS,,2026-01-06 08:50:45.802252 +00:00
70,XZC,,2026-01-06 08:50:45.802252 +00:00
71,LSK,,2026-01-06 08:50:45.802252 +00:00
72,TNT,,2026-01-06 08:50:45.802252 +00:00
73,FUEL,,2026-01-06 08:50:45.802252 +00:00
74,MANA,,2026-01-06 08:50:45.802252 +00:00
75,BCD,,2026-01-06 08:50:45.802252 +00:00
76,DGD,,2026-01-06 08:50:45.802252 +00:00
77,ADX,,2026-01-06 08:50:45.802252 +00:00
78,ADA,,2026-01-06 08:50:45.802252 +00:00
79,PPT,,2026-01-06 08:50:45.802252 +00:00
80,CMT,,2026-01-06 08:50:45.802252 +00:00
81,XLM,,2026-01-06 08:50:45.802252 +00:00
82,CND,,2026-01-06 08:50:45.802252 +00:00
83,LEND,,2026-01-06 08:50:45.802252 +00:00
84,WABI,,2026-01-06 08:50:45.802252 +00:00
85,TNB,,2026-01-06 08:50:45.802252 +00:00
86,WAVES,,2026-01-06 08:50:45.802252 +00:00
87,GTO,,2026-01-06 08:50:45.802252 +00:00
88,ICX,,2026-01-06 08:50:45.802252 +00:00
89,OST,,2026-01-06 08:50:45.802252 +00:00
90,ELF,,2026-01-06 08:50:45.802252 +00:00
91,AION,,2026-01-06 08:50:45.802252 +00:00
92,NEBL,,2026-01-06 08:50:45.802252 +00:00
93,BRD,,2026-01-06 08:50:45.802252 +00:00
94,EDO,,2026-01-06 08:50:45.802252 +00:00
95,WINGS,,2026-01-06 08:50:45.802252 +00:00
96,NAV,,2026-01-06 08:50:45.802252 +00:00
97,LUN,,2026-01-06 08:50:45.802252 +00:00
98,TRIG,,2026-01-06 08:50:45.802252 +00:00
99,APPC,,2026-01-06 08:50:45.802252 +00:00
