market_id,exchange,base_asset_id,quote_asset_id,market_symbol,status,created_at
1,binance,1,2,ETHBTC,trading,2026-01-06 08:50:45.802252 +00:00
2,binance,3,2,LTCBTC,trading,2026-01-06 08:50:45.802252 +00:00
3,binance,4,2,BNBBTC,trading,2026-01-06 08:50:45.802252 +00:00
4,binance,5,2,NEOBTC,trading,2026-01-06 08:50:45.802252 +00:00
5,binance,6,1,QTUMETH,trading,2026-01-06 08:50:45.802252 +00:00
6,binance,7,1,EOSETH,break,2026-01-06 08:50:45.802252 +00:00
7,binance,8,1,SNTETH,break,2026-01-06 08:50:45.802252 +00:00
8,binance,9,1,BNTETH,break,2026-01-06 08:50:45.802252 +00:00
9,binance,10,2,BCCBTC,break,2026-01-06 08:50:45.802252 +00:00
10,binance,11,2,GASBTC,trading,2026-01-06 08:50:45.802252 +00:00
11,binance,4,1,BNBETH,trading,2026-01-06 08:50:45.802252 +00:00
12,binance,2,12,BTCUSDT,trading,2026-01-06 08:50:45.802252 +00:00
13,binance,1,12,ETHUSDT,trading,2026-01-06 08:50:45.802252 +00:00
14,binance,13,2,HSRBTC,break,2026-01-06 08:50:45.802252 +00:00
15,binance,14,1,OAXETH,break,2026-01-06 08:50:45.802252 +00:00
16,binance,15,1,DNTETH,break,2026-01-06 08:50:45.802252 +00:00
17,binance,16,1,MCOETH,break,2026-01-06 08:50:45.802252 +00:00
18,binance,17,1,ICNETH,break,2026-01-06 08:50:45.802252 +00:00
19,binance,16,2,MCOBTC,break,2026-01-06 08:50:45.802252 +00:00
20,binance,18,2,WTCBTC,break,2026-01-06 08:50:45.802252 +00:00
21,binance,18,1,WTCETH,break,2026-01-06 08:50:45.802252 +00:00
22,binance,19,2,LRCBTC,trading,2026-01-06 08:50:45.802252 +00:00
23,binance,19,1,LRCETH,trading,2026-01-06 08:50:45.802252 +00:00
24,binance,6,2,QTUMBTC,break,2026-01-06 08:50:45.802252 +00:00
25,binance,20,2,YOYOBTC,break,2026-01-06 08:50:45.802252 +00:00
26,binance,21,2,OMGBTC,break,2026-01-06 08:50:45.802252 +00:00
27,binance,21,1,OMGETH,break,2026-01-06 08:50:45.802252 +00:00
28,binance,22,2,ZRXBTC,break,2026-01-06 08:50:45.802252 +00:00
29,binance,22,1,ZRXETH,break,2026-01-06 08:50:45.802252 +00:00
30,binance,23,2,STRATBTC,break,2026-01-06 08:50:45.802252 +00:00
31,binance,23,1,STRATETH,break,2026-01-06 08:50:45.802252 +00:00
32,binance,24,2,SNGLSBTC,break,2026-01-06 08:50:45.802252 +00:00
33,binance,24,1,SNGLSETH,break,2026-01-06 08:50:45.802252 +00:00
